/*********************************************
 * OPL 12.4 Data
 * Author: kbarreau
 * Creation Date: 14 déc. 2015 at 12:04:15
 *********************************************/

NbLines = 7;
NbColumns = 7;
NbColors = 9;
NbOrientations = 4;

Pieces = [ 
  [2 1 2 3],
 [4 2 1 2],
 [5 1 2 4],
 [4 5 1 2],
 [1 5 4 6],
 [3 4 7 3],
 [7 8 3 4],
 [7 8 4 8],
 [4 6 1 6],
 [2 1 2 9],
 [8 9 4 8],
 [5 4 2 1],
 [8 7 9 3],
 [1 6 5 1],
 [1 1 2 6],
 [8 8 9 7],
 [6 9 2 1],
 [8 9 9 7],
 [6 1 5 9],
 [9 9 8 7],
 [6 3 5 1],
 [9 4 7 3],
 [6 6 1 1],
 [7 3 8 8],
 [9 3 7 3],
 [3 4 9 7],
 [7 4 7 8],
 [7 3 4 9],
 [1 5 9 5],
 [6 1 5 3],
 [8 7 7 7],
 [7 6 1 2],
 [4 8 8 8],
 [1 6 8 5],
 [4 9 4 3],
 [8 3 9 7],
 [9 4 9 9],
 [8 4 7 8],
 [4 4 8 8],
 [3 3 8 3],
 [7 3 3 9],
 [1 5 3 2],
 [5 3 5 1],
 [2 9 5 1],
 [3 2 1 5],
 [9 3 4 4],
 [1 6 7 6],
 [1 1 6 2],
 [4 9 7 7]
 ];
